 CONF#          G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF843        -65.025922          ---           -2932.464851       -0.007179        ---         -2932.472030          3.48                0.04         
CONF856        -65.025883          ---           -2932.460357       -0.008719        ---         -2932.469076          5.33                0.00         
CONF865        -65.025869          ---           -2932.458711       -0.008976        ---         -2932.467687          6.20                0.00         
CONF866        -65.025867          ---           -2932.458727       -0.008434        ---         -2932.467161          6.53                0.00         
CONF868        -65.025858          ---           -2932.459706       -0.011991        ---         -2932.471696          3.69                0.03         
CONF869        -65.025857          ---           -2932.459686       -0.011987        ---         -2932.471673          3.70                0.03         
CONF870        -65.025859          ---           -2932.462519       -0.008362        ---         -2932.470882          4.20                0.01         
CONF875        -65.025836          ---           -2932.466267       -0.006244        ---         -2932.472512          3.18                0.07         
CONF892        -65.025792          ---           -2932.462825       -0.009128        ---         -2932.471953          3.53                0.04         
CONF893        -65.025791          ---           -2932.463615       -0.009456        ---         -2932.473072          2.82                0.13         
CONF897        -65.025788          ---           -2932.463565       -0.009486        ---         -2932.473051          2.84                0.13         
CONF908        -65.025757          ---           -2932.459695       -0.009817        ---         -2932.469511          5.06                0.00         
CONF912        -65.025743          ---           -2932.458016       -0.008200        ---         -2932.466216          7.13                0.00         
CONF915        -65.025737          ---           -2932.464616       -0.008001        ---         -2932.472617          3.11                0.08         
CONF919        -65.025729          ---           -2932.462320       -0.008304        ---         -2932.470623          4.36                0.01         
CONF923        -65.025719          ---           -2932.459965       -0.007236        ---         -2932.467201          6.51                0.00         
CONF927        -65.025710          ---           -2932.462733       -0.008812        ---         -2932.471544          3.78                0.03         
CONF928        -65.025712          ---           -2932.461378       -0.009893        ---         -2932.471271          3.95                0.02         
CONF933        -65.025693          ---           -2932.461547       -0.008670        ---         -2932.470217          4.62                0.01         
CONF953        -65.025651          ---           -2932.465770       -0.007317        ---         -2932.473087          2.81                0.13         
CONF956        -65.025648          ---           -2932.457492       -0.010179        ---         -2932.467671          6.21                0.00         
CONF964        -65.025638          ---           -2932.457339       -0.010222        ---         -2932.467561          6.28                0.00         
CONF965        -65.025636          ---           -2932.455187       -0.008289        ---         -2932.463477          8.84                0.00         
CONF966        -65.025632          ---           -2932.456439       -0.008073        ---         -2932.464512          8.20                0.00         
CONF968        -65.025623          ---           -2932.460513       -0.007364        ---         -2932.467876          6.08                0.00         
CONF969        -65.025625          ---           -2932.458026       -0.008930        ---         -2932.466956          6.66                0.00         
CONF973        -65.025617          ---           -2932.461736       -0.009694        ---         -2932.471430          3.85                0.02         
CONF976        -65.025599          ---           -2932.461320       -0.006910        ---         -2932.468230          5.86                0.00         
CONF977        -65.025593          ---           -2932.461333       -0.006884        ---         -2932.468217          5.87                0.00         
CONF979        -65.025593          ---           -2932.457372       -0.008328        ---         -2932.465700          7.45                0.00         
CONF987        -65.025566          ---           -2932.467655       -0.009917        ---         -2932.477572          0.00               15.51         
CONF988        -65.025558          ---           -2932.460468       -0.007582        ---         -2932.468050          5.98                0.00         
